date,lat,long,chla
Err:507,36.1719,-0.849,0.01
Err:507,35.9323,-0.4844,0.010351000000000001
Err:507,36.4219,0.8385,0.010351000000000001
Err:507,36.1823,0.1927,0.010351000000000001
Err:507,35.9427,-0.9635,0.010351000000000001
Err:507,36.5365,0.026,0.010351000000000001
Err:507,36.1823,-0.849,0.010715000000000001
Err:507,36.0469,-0.4219,0.010715000000000001
Err:507,36.3906,0.8698,0.011091999999999999
Err:507,36.1615,-0.9531,0.011091999999999999
Err:507,36.1406,-0.8698,0.011091999999999999
Err:507,35.9948,-0.7344,0.011091999999999999
Err:507,36.0469,-0.5573,0.011091999999999999
Err:507,36.7344,-0.224,0.011481999999999999
Err:507,36.1823,-0.974,0.011481999999999999
Err:507,36.1094,-0.7656,0.011481999999999999
Err:507,36.5156,0.0885,0.011481999999999999
Err:507,35.9323,-0.651,0.011481999999999999
Err:507,36.6406,0.4948,0.011481999999999999
Err:507,36.0365,-0.6406,0.011885
Err:507,36.1302,0.0469,0.012303
Err:507,35.8594,-0.7656,0.012303
Err:507,36.2344,-0.599,0.012303
Err:507,36.026,-0.526,0.012303
Err:507,36.1823,-0.8698,0.012735
Err:507,36.1302,-0.8906,0.013183
Err:507,35.974,-0.6823,0.013183
Err:507,36.1198,-0.6302,0.013183
Err:507,35.9531,-0.6302,0.013183
Err:507,36.1615,0.1615,0.013646
Err:507,36.099,-0.7344,0.013646
Err:507,36.6719,0.474,0.013646
Err:507,35.9323,-0.9531,0.014125
Err:507,36.026,-0.4219,0.014125
Err:507,36.651,0.3594,0.014125
Err:507,36.1198,-0.7656,0.014622
Err:507,36.0156,-0.7135,0.014622
Err:507,36.0677,-0.4635,0.014622
Err:507,36.6406,0.5052,0.014622
Err:507,36.6302,0.4219,0.014622
Err:507,35.9323,-0.5052,0.015136
Err:507,36.276,0.4219,0.015668000000000001
Err:507,35.9427,-0.9531,0.016218
Err:507,35.7344,-0.6302,0.016788000000000001
Err:507,35.9323,-0.9115,0.016788000000000001
Err:507,36.0469,-0.6615,0.016788000000000001
Err:507,36.0469,-0.6094,0.016788000000000001
Err:507,36.651,0.5156,0.016788000000000001
Err:507,36.1719,-0.8594,0.017378000000000001
Err:507,36.1094,-0.9427,0.017378000000000001
Err:507,35.9427,-0.7552,0.017378000000000001
Err:507,35.9948,-0.5573,0.017378000000000001
Err:507,36.724,-0.0573,0.017989000000000002
Err:507,36.4219,0.8177,0.017989000000000002
Err:507,36.1615,0.099,0.017989000000000002
Err:507,36.1406,-0.8802,0.017989000000000002
Err:507,35.9948,-0.9635,0.017989000000000002
Err:507,35.849,-0.7031,0.017989000000000002
Err:507,36.0156,-0.5052,0.017989000000000002
Err:507,36.2031,-0.8385,0.018620999999999999
Err:507,36.0781,-0.2969,0.018620999999999999
Err:507,35.9323,-0.7344,0.018620999999999999
Err:507,35.9323,-0.7031,0.018620999999999999
Err:507,35.9219,-0.9115,0.018620999999999999
Err:507,35.901,-0.9531,0.018620999999999999
Err:507,36.1615,-0.974,0.019275
Err:507,36.1615,-0.8594,0.019275
Err:507,35.9948,-0.974,0.019275
Err:507,35.9948,-0.9531,0.019275
Err:507,35.9323,-0.7552,0.019275
Err:507,35.9323,-0.6823,0.019275
Err:507,36.6094,0.0156,0.019275
Err:507,36.5781,-0.0052,0.019275
Err:507,36.526,0.0573,0.019275
Err:507,36.1198,-0.4219,0.019275
Err:507,36.0365,-0.3698,0.019275
