year1,m1,d1,average
2023,1,12,NaN
2023,1,13,NaN
2023,1,14,NaN
2023,1,15,NaN
2023,1,16,NaN
2023,1,17,NaN
2023,1,18,NaN
2023,1,19,NaN
2023,1,20,NaN
2023,1,21,NaN
2023,1,22,NaN
2023,1,23,NaN
2023,1,24,NaN
2023,1,25,NaN
2023,1,26,NaN
2023,1,27,NaN
2023,1,28,NaN
2023,1,29,NaN
2023,1,30,NaN
2023,1,31,NaN
2023,2,1,NaN
2023,2,2,NaN
2023,2,3,NaN
2023,2,4,NaN
2023,2,5,NaN
2023,2,6,NaN
2023,2,7,2.985
2023,2,8,NaN
2023,2,9,NaN
2023,2,10,NaN
2023,2,11,NaN
2023,2,12,NaN
2023,2,13,NaN
2023,2,14,NaN
2023,2,15,NaN
2023,2,16,NaN
2023,2,17,NaN
2023,2,18,NaN
2023,2,19,NaN
2023,2,20,NaN
2023,2,21,NaN
2023,2,22,NaN
2023,2,23,NaN
2023,2,24,NaN
2023,2,25,NaN
2023,2,26,3.428
2023,2,27,NaN
2023,2,28,NaN
2023,3,1,NaN
2023,3,2,NaN
2023,3,3,NaN
2023,3,4,NaN
2023,3,5,NaN
2023,3,6,NaN
2023,3,7,NaN
2023,3,8,NaN
2023,3,9,NaN
2023,3,10,NaN
2023,3,11,NaN
2023,3,12,NaN
2023,3,13,NaN
2023,3,14,NaN
2023,3,15,3.428
2023,3,16,NaN
2023,3,17,3.199
2023,3,18,NaN
2023,3,19,NaN
2023,3,20,NaN
2023,3,21,NaN
2023,3,22,NaN
2023,3,23,2.884
2023,3,24,2.344
2023,3,25,NaN
2023,3,26,NaN
2023,3,27,NaN
2023,3,28,NaN
2023,3,29,NaN
2023,3,30,NaN
2023,3,31,NaN
2023,4,1,NaN
2023,4,2,2.884
2023,4,3,2.512
2023,4,4,NaN
2023,4,5,3.673
2023,4,6,3.09
2023,4,7,2.512
2023,4,8,NaN
2023,4,9,NaN
2023,4,10,NaN
2023,4,11,NaN
2023,4,12,NaN
